#,Item,Specification,Qty,Unit Price (CAD),Total (CAD),Source/Notes
1,Subwoofer,"6.5-inch coaxial car speaker, 100W/160W",1,20.79,20.79,AliExpress - Woman Center Store
2,M3 Washers,"304 stainless steel flat washer, 50pcs pack",1,1.42,1.42,AliExpress - JiYu320 Store
3,Aluminum Plate,"200mm x 200mm, 1mm thick",1,11.58,11.58,AliExpress - MetalHome Wholesale Store
4,Brass Insert Nuts & Screws,"M3A assortment kit, 420pcs",1,14.64,14.64,AliExpress - YMAX A Salted Fish Store
5,TPA3116D2 Amplifier Board,"XY-1001W, 100W mono, potentiometer all-in-one",1,16.28,16.28,AliExpress - Tech Hub 103 Store
6,Acrylic Sheet,"150mm x 150mm, 1mm thick",1,1.63,1.63,AliExpress - Disen Tools Store
7,M3 Screws,140mm length,4,0.00,0.00,Already owned - not purchased
8,M3 Screw,150mm length,1,0.00,0.00,Already owned - not purchased
,,,,,,
,,,Items Subtotal,,66.34,Matches AliExpress cart subtotal
,,,Shipping,,6.93,
,,,Estimated Total (known items),,73.27,Tax not included; all items now accounted for
