Item,Specification,Qty,Unit Price (CAD),Total (CAD),Source
Subwoofer,"6.5-inch coaxial car speaker, 100W/160W",1,$20.79,$20.79,AliExpress - Woman Center Store
M3 Washers,"304 stainless steel flat washer, 50pcs pack",1,$1.42,$1.42,AliExpress - JiYu320 Store
Aluminum Plate,"200mm x 200mm, 1mm thick",1,$11.58,$11.58,AliExpress - MetalHome Wholesale Store
Brass Insert Nuts & Screws,"M3A assortment kit, 420pcs",1,$14.64,$14.64,AliExpress - YMAX A Salted Fish Store
TPA3116D2 Amplifier Board,"XY-1001W, 100W mono, potentiometer all-in-one",1,$16.28,$16.28,AliExpress - Tech Hub 103 Store
Acrylic Sheet,"150mm x 150mm, 1mm thick",1,$1.63,$1.63,AliExpress - Disen Tools Store
M3 Threaded Rod,"DIN975, 304 stainless steel, M3 x 90mm, 5pcs/pack - replaces the 4x 140mm + 1x 150mm M3 screws",1,$1.40,$1.40,AliExpress
M3 Lock Nuts,"304 stainless steel black hex nylon insert self-locking nut",1,$1.40,$1.40,AliExpress
,,,,,
,,Items Subtotal,,$69.46,
,,Shipping,,$13.63,
,,Estimated Total,,$83.09,
